index	sentence1	sentence2	label
143	The May 3 ferry sinking in the Meghna River that claimed the lives of at least 370 people is a reminder of the dangers inherent in this sort of travel.	100 or more people lost their lives in a ferry sinking.	entailment
150	The average cabby works nine and a half hours a day. A cab's busiest hours are 6 to 8 p.m. And even as the economy has fallen deeper into recession, the number of cab rides each day in New York has remained relatively steady.  Those are among the most vivid bits of information about the yellow cab industry to emerge from a trove of new data collected by the Taxi and Limousine Commission from cabs equipped with new computerized systems that record each trip and fare.	The busiest hour for a cab is 9 p.m.	not_entailment
151	U.S. light crude was trading erratically on the New York Mercantile Exchange, hitting $44.50 a barrel before easing back a bit to $44.10, still a gain of $1.27.	The U.S. light crude is $1.27 a barrel.	not_entailment
153	Nor is it clear whether any US support to Germany, in favour of Bonn as the WTO headquarters, would necessarily tilt a decision in that direction.	The WTO headquarters is in Bonn.	not_entailment
155	Political parties in PNG lack ideological conviction and rely almost exclusively on patronage politics, personalism, and regional bases. Several parties have emerged in Papua New Guinean politics. In the House of Assembly elected in 1973, the Pangu Pati, headed by Michael Somare, formed a coalition government with the People's Progress Party, and Somare became prime minister.	Several new political parties emerged.	entailment
157	Google and NASA announced a working agreement, Wednesday, that could result in the Internet giant building a complex of up to 1 million square feet on NASA-owned property, adjacent to Moffett Field, near Mountain View.	Google may build a campus on NASA property.	entailment
159	Iran will hold the first runoff presidential election in its history, between President Akbar Hashemi Rafsanjani and Tehran's hard-line mayor, election officials said Saturday.	Akbar Hashemi Rafsanjani is the president.	entailment
160	A memorial service has taken place for Australian actor Heath Ledger, who died January 22 in New York. Hollywood celebrities and many other loyal fans bid farewell to the well known actor. His death has been deemed accidental by the New York City Medical Examiner and was attributed to a toxic mixture of prescription drugs and pain killers. The star died in his Manhattan apartment last month. The service was held at Penrhos College in Perth, Australia and was attended by over 100 people, although the actual funeral was only attended by Ledger's close family. Before the funeral, Heath's father, Kim Ledger, said that "the funeral will be very, very private and there will only be 10 people there, immediate family and nobody else."	Kim Ledger was Heath's son.	not_entailment
161	Gamma ray bursts are some of the most powerful objects observed in the Universe and are thought to signal the birth of black holes. Swift is designed to detect the bursts and automatically re-orient itself to gather images and data of the phenomenon.	Gamma rays are forms of electromagnetic radiation.	not_entailment
162	There are four identified subtypes of Ebola virus. Three of the four have caused disease in humans: Ebola-Zaire, Ebola-Sudan, and Ebola-Ivory Coast. The fourth, Ebola-Reston, has caused disease in non-human primates, but not in humans.	The Ebola epidemic breaks out in Zaire.	not_entailment
165	Some people may think that there is no other way to grow plants other than in soil; there is however, another way.	Plants are grown  in  substances other than soil.	entailment
172	A former employee of the company, David Vance of South Portland, said Hooper spent a lot of time on the road, often meeting with customers between Portland and Kittery.	David Vance lives in South Portland.	entailment
175	"I will not seek your votes for a new mandate." With these words, the President of France, Jacques Chirac (74) announced during a radio and television broadcast at 20:00 UTC that it's time for him to serve his country in a different way. The announcement was widely speculated about and did not come as a surprise. The official announcement gives the candidate from the majority party UMP, Nicolas Sarkozy, more freedom during the next six weeks that remain before the Presidential elections in France. Although Sarkozy is from the same party as Chirac and hopes to receive an endorsement from him, the President has not yet expressed his support for a particular candidate to succeed him, and he did not refer to Sarkozy during any moment of his speech.	Chirac doesn't want to be re-elected.	entailment
178	The car which crashed against the mail-box belonged to James Clark, 68, an acquaintance of James Jones' family.	Clark is a relative of Jones'.	not_entailment
181	Two Greenpeace protestors entered the CBI conference at the Business Design Centre in Islington, London and delayed a speech being made by the Prime Minister Tony Blair, in which he was expected to announce the consideration of further nuclear power stations to offset the increasing gas prices being experienced by industry in the UK. The protestors, wearing yellow safety jackets over business suits, climbed up into the ceiling rafters and held  banners saying "NUCLEAR: WRONG ANSWER", and dropped 'radioactive confetti' onto the delegates down below. Greenpeace threatened to make noise and throw missiles at the Prime Minister should he make his speech.	Greenpeace made a statement about yellow safety jackets.	not_entailment
182	Chinese Premier, Zhu Rongji, and German Chancellor, Gerhard Schroeder, opened the world's first commercial magnetic levitation (maglev) train yesterday, with both sides having much to gain from its success.	Both Mr. Schroeder and Mr. Zhu have much to gain if maglev succeeds.	entailment
185	The Croatian will face competition, especially from the American of Chinese origin, Michael Chang, second-seeded in the tournament. Organizers hope that the tournament will contribute to advancing tennis in their countries.	The Croatian and the Asian-American, Michael Chang (number two) will play eachother, and hopefully popularise the game in their native countries.	entailment
186	Felicity Huffman and Patricia Arquette became first-time Emmy winners as they received lead actress honors, while Tony Shalhoub and James Spader, once again, proved favorites in the best actor category.	Patricia Arquette collected best drama actress for psychic crime drama "Medium", while James Spader won best actor for "Boston Legal" for a second year.	not_entailment
187	The soldier, James Barker, one of four American soldiers accused of raping the Iraqi girl and killing her family in the March 2006 incident, pleaded guilty on Wednesday to rape and murder in Fort Campbell, Kentucky.	James Barker is accused of raping an Iraqi girl and killing her family.	entailment
191	Some other objections to legalization point to the greater dangers of family violence, reckless driving, or reckless operation of subways and so on.	Drug legalization has benefits.	not_entailment
193	Only 14 percent of U.S. mothers exclusively breast-feed their babies for the minimum recommended six months.	There are many benefits from breast-feeding.	not_entailment
197	In 1596 the Polish king decided to move the capital from Krakow to Warsaw, making Warsaw the most important city in Poland.	In 1611 the king and his court finally moved from Krakow ( Cracow ) to Warsaw, making it the capital of the Polish state.	not_entailment
200	This paper discusses marijuana, crack/cocaine, tranquilizers, hallucinogens, amphetamines, heroin, alcohol, nicotine and caffeine to provide a framework for the author's argument that the legalization of drugs can in no way be deemed as ethical or moral.	Drug legalization has benefits.	not_entailment
201	A unique feature of previous Ebola outbreaks has been the relative sparing of children. For the first time, an out break of an unusual illness-Ebola haemorrhagic fever occurred in Northern Uganda - Gulu district.	Ebola Epidemic breaks out in Zaire.	not_entailment
202	The organizing committee said 65 countries have entered the Lillehammer Olympic Games, matching the number of nations at the 1992 Winter Games in Albertville, France.	65 countries take part in the Lillehammer Olympic Games.	entailment
206	In reaction to the ongoing uncertainty, the E.U. enlargement commissioner warned the Turkish Army about interfering: "It is important that the military leaves the remit of democracy to the democratically-elected government and this is the test case if the Turkish armed forces respect democratic secularism and the democratic arrangement of civil-military relations," commissioner Olli Rehn said. Erdogan and Gül support Turkey's efforts to join the European Union.	Turks want Gül to be President.	not_entailment
207	McDonald's said overall global sales at its restaurants climbed 6.2% in June, 6.3% in the second quarter and 7.1% for the year to date.	McDonald's Corp., the world's largest restaurant chain, led the advance after the company reported earnings that exceeded estimates.	not_entailment
208	Scott's execution led to outrage in Ontario, and was largely responsible for prompting the Wolseley Expedition, which forced Louis Riel, now branded a murderer, to flee the settlement.	Scott's execution caused the Wolseley Expedition.	entailment
212	Moscow (USSR), 12 Jul 89 (PRAVDA)- Blood is flowing in Columbia, where last year, according to official statistics, there were 4,600 victims of political violence, including Jaime Pardo Leal (president of Colombia's national coordination committee), around 30 deputies and many municipal advisors and mayors.	Jaime Pardo Leal was killed in Moscow.	not_entailment
213	Domestic fire incidents have an important impact on population health by contributing to early death, serious and often disfiguring injuries, and ongoing disability. Fire-related injury is a leading cause of unintentional injury in the home in all age groups.	Domestic fires are a major cause of unintentional injury in the home.	entailment
215	Four US cable companies, including industry leaders Comcast Corp and Time Warner Cable, have entered the fast-growing wireless arena through a joint venture with Sprint Nextel.	Time Warner Cable is a partner of Sprint Nextel.	entailment
216	Experts say that Mr. Abbas will need that big win to show that he has the support of most Palestinian people in order to push through his aims of peace talks with Israel.	Analysts had said that Mr. Abbas needed a large margin of victory in order to push his agenda of peace talks with Israel.	entailment
219	Of all the national park lands in the United States, none is closer to a major urban area or more beset with problems than the Everglades, a shallow, 50-mile-wide river of grass that flows south from Lake Okeechobee to Florida Bay. For more than a generation, this fragile natural wonder has been held hostage by a web of special interests -- farmers, sportsmen and about 6 million South Florida residents in need of drinking water and flood control -- that is as complex as the ecosystem itself.	The Everglades is 50-mile wide.	entailment
220	Paul Bremer, the top U.S. civilian administrator in Iraq, and Iraq's new president, Ghazi al-Yawar, visited the northern Iraqi city of Kirkuk.	Ghazi al-Yawar is Iraq's new president.	entailment
222	An Israeli judicial inquiry has ruled out prosecuting the police officers who shot dead 13 Israeli Arabs during a violent demonstration in 2000.	Israel will not prosecute the police who killed 13 Israeli Arabs during pro-Palestinian protests in 2000, because of a lack of evidence, an official inquiry said yesterday.	not_entailment
223	Sotheby's and Christie's, the world's two most powerful auction houses, swapped confidential lists of super-rich clients who were spared from paying fees charged to other sellers, people close to the companies and to a federal antitrust investigation of them said.	Christie's is one of the world's largest auction houses.	entailment
227	ECB spokeswoman, Regina Schueller, declined to comment on a report in Italy's La Repubblica newspaper that the ECB council will discuss Mr. Fazio's role in the takeover fight at its Sept. 15 meeting.	Regina Shueller works for Italy's La Repubblica newspaper.	not_entailment
228	The evidence for the continuing accretion of gas by the Milky Way involves high-velocity clouds, or HVCs--mysterious clumps of hydrogen, moving rapidly through the outer regions of the galaxy.	High-velocity clouds are made up of hydrogen.	entailment
231	Yemen, too, was reunified in 1990.	Yemen was reunited in 1990.	entailment
243	The final major piece of comet Shoemaker-Levy 9 was to hit just after midnight, completing a ring of crater-like plumes of swirling superheated gas and debris thousands of miles across. "It hit Jupiter like a string of machine-gun bullets" said Eugene Shoemaker, an astronomer at the Lowell Observatory in Flagstaff, Ariz., who helped discover the comet last year.	The Shoemaker-Levy comet hit Jupiter.	entailment
246	David Millar retained his Tour de France leader's yellow jersey despite crashing in the final two kilometres of the third stage of the race to Nantes.	Tour de France winner is likely to lose the crown.	not_entailment
247	In 2000 there were 10,578 divorces in Bulgaria, which represents 301 divorces per 1000 marriages or a 1.3% divorce rate per 1000 inhabitants.	In 2000 there were 301 divorces in Bulgaria.	not_entailment
248	"Having for years enjoyed greater rights than other women in the Middle East, women in Iraq are now losing even their basic freedoms. The right to choose their clothes, the right to love or marry whom they want. Of course women suffered under Saddam. I fled his cruel regime. I personally witnessed much brutality, but the subjugation of women was never a goal of the Baath party."	Women in Iraq have lost their freedom.	entailment
252	"On Feb. 20, Dr. Hunter S. Thompson took his life with a gunshot to the head at his fortified compound in Woody Creek, Colorado. The family will shortly provide more information about memorial service and media contacts. Hunter prized his privacy and we ask that his friends and admirers respect that privacy as well as that of his family," Juan Thompson said in a statement issued to Aspen Daily News. The death was confirmed by Pitkin County Sheriff Bob Braudis. Hunter S. Thompson was best known for his 1972 book "Fear and Loathing in Las Vegas". He was recently married and had emotionally supported his friend John Kerry's candidacy.	John Kerry was friends with Hunter S. Thompson.	entailment
253	Most of the mines are in arid areas and animals searching for water are attracted to the cyanide-laced holding ponds that are an integral part of the mining operations.	Animals have died by the thousands from drinking at cyanide-laced holding ponds.	not_entailment
254	For others, in the northern hemisphere, judgment may be a little off due to Seasonal Affective Disorder (SAD), which is often at its peak in the weeks following the shortest hours of daylight.	Seasonal Affective Disorder (SAD) is a worldwide disorder.	not_entailment
255	Mr Piech dismissed suggestions that VWs actions in hiring away Mr Lopez and his seven colleagues from GM had caused widespread dismay in German industry, and was at odds with the style of German business.	Piech got nationalistic in his accusations.	not_entailment
256	Last week's release of long-secret Justice Department interrogation memorandums has given rise to starkly opposing narratives about what, if anything, was gained by the C.I.A.'s use of waterboarding, wall-slamming and other physical pressure to shock and intimidate Qaeda operatives. Senior Bush administration officials, led by Vice President Dick Cheney and cheered by many Congressional Republicans, are fighting a rear-guard action in defense of their record. Only by using the harshest methods, they insist, did the intelligence agency get the information it needed to round up Qaeda killers and save thousands of American lives.	Dick Cheney was the chief of the Justice Department.	not_entailment
258	Tilda Swinton has a prominent role as the White Witch in "The Chronicles of Narnia: The Lion, The Witch and The Wardrobe", coming out in December.	Tilda Swinton plays the part of the White Witch.	entailment
261	The demands on Italy's 53rd postwar government are apparent, as are the resentment and uncertainties Berlusconi has roused at the head of a new party with the catchy name Forza Italia (Go, Italy).	Silvio Berlusconi is in Forza Italia.	entailment
